advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
current flatmate,31 Jan,free,2,Early Bird,14516263,Elephant and Castle,SE17,£643pcm,£149pw,house,,3,,new,Amazing double room in E&C!!!!!!!,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,3,Early Bird,3885338,Marylebone,W1,£640- £740pcm,£148- £171pw,house,,4,,new,Quiet Marylebone house-share,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,3,Early Bird,14523661,Walworth,SE17,£643pcm,£149pw,house,,3,,new,Lovely house share,offered,False,2020-01-27 02:47:34.811272
live out landlord, 6 Feb,free,3,Early Bird,14482759,Borough,SE1,£633pcm,£147pw,flat,,3,,new,"Lovely Double Bedroom, Borough, only £633pcm",offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Mar,free,4,Early Bird,10588393,Bayswater,W2,£650pcm,£150pw,flat,,2,,new,CleanDoubleRoom-Bayswater-Short Stays-Please Read!,offered,False,2020-01-27 02:47:34.811272
current flatmate,20 Feb,free,5,Early Bird,14509339,Vauxhall,SW8,£640- £730pcm,£148- £169pw,flat,,3,,new,2 rooms available in Vauxhall - 3min from Vic line,offered,False,2020-01-27 02:47:34.811272
current flatmate, 9 Feb,free,6,Early Bird,14456017,Wapping,E1,£650pcm,£150pw,house,,4,,new, Zone 1 double room  available long term ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 7 Feb,free,6,Early Bird,7089055,Euston,NW1,£650pcm,£150pw,house,,3,,new,Single room to let for 1 person only in family hom,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Mar,free,7,,14494270,Borough,SE1,£650pcm,£150pw,flat,,4,,,Spacious double room 5 mins from Borough station ,offered,False,2020-01-27 02:47:34.811272
former flatmate,13 Feb,free,7,,14493265,Farringdon,EC1,£650pcm,£150pw,flat,,4,,,Big Cosy Room in Farringdon,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,8,,14440663,Elephant and Castle,SE17,£650pcm,£150pw,flat,,2,,,Double room in zone 1 available,offered,False,2020-01-27 02:47:34.811272
