advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
live out landlord,Available Now,free,24,,7691788,Borough,SE1,£650pcm,£150pw,property,,3,,,Amazing for Students at Kings or Guys Hospital,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,24,,9151594,Chelsea,SW10,£650pcm,£150pw,property,,2,,,Room available until 25th January in a hot area!,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,25,,13235611,London EC1R,EC1,£650pcm,£150pw,flat,,2,,,Looking for Lodger,offered,False,2020-01-27 02:47:34.811272
agent,15 Feb,bold,0,,14540296,Aldgate East,E1,£689pcm,£159pw,flat,,4,,new today,Nice Double Room in Aldgate East|Bricklane,offered,False,2020-01-27 02:47:34.811272
current tenants, 1 Mar,free,0,Early Bird,14539039,London WC1H,WC1,"£1,500 pcm",£1pw,flat,,2,Y,new today,2 bed room flat avilable in kingscross zone 1,offered,False,2020-01-27 02:47:34.811272
current flatmate,13 Mar,free,1,Early Bird,14533702,Clerkenwell,WC1,£673pcm,£156pw,flat,,3,,new today,"Room 10 min walk Farringdon, King's Cross, Angel",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,11638897,Brick Lane,E1,£672pcm,£155pw,flat,,2,,new,Double room in Brick Lane⛪️NO FEES,offered,False,2020-01-27 02:47:34.811272
agent,16 Feb,bold,0,,14534470,Elephant and Castle,SE1,£690pcm,£160pw,flat,,5,,new, Zone 1 Spacious Double Room🌿Elephant & Castle,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10115785,Elephant and Castle,SE17,£672pcm,£155pw,flat,,4,,new,Below Market price London Bridge 1 stop!,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,4213791,Wapping,E1,£600- £800pcm,£139- £185pw,house,,3,,new,Jan to March - short let -great location  2 rooms,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,5736037,Old Street,N1,£672pcm,£155pw,flat,,5,,new,Lovely Double in Shoreditch ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,12658012,Liverpool Street,EC2,£550- £875pcm,£127- £202pw,flat,,9,,new,Twin/double/Single rooms in Liverpool Street! ,offered,False,2020-01-27 02:47:34.811272
agent, 2 Mar,bold,1,,14293360,Tower Bridge,SE1,£650- £741pcm,£150- £171pw,flat,,3,,new,Zone 1!! Tower Bridge 2 Double Rooms,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14527483,London E1,E1,£672pcm,£155pw,flat,,3,,new,Modern Double Room - Liverpool Street - E1 !,offered,False,2020-01-27 02:47:34.811272
former flatmate,28 Feb,bold,1,,13800382,Bayswater,W2,£600- £860pcm,£139- £199pw,flat,,3,,new,Very large  and small double room,offered,False,2020-01-27 02:47:34.811272
live out landlord,25 Feb,bold,3,,10894888,Kennington,SE11,£690pcm,£160pw,flat,,3,,new,5 minutes to Vauxhall!!  (54ARROW),offered,False,2020-01-27 02:47:34.811272
current flatmate,28 Feb,bold,4,,14453884,Elephant and Castle,SE17,£675pcm,£156pw,house,,3,,new,Homely 3 floor flat in Victorian house,offered,False,2020-01-27 02:47:34.811272
agent, 1 Jun,bold,5,,12234769,Chelsea,SW10,"£4,000 pcm",£1pw,flat,,4,Y,new,Amazing Flat in SW10 for a group of 6 people max,offered,False,2020-01-27 02:47:34.811272
current flatmate,15 Feb,bold,6,,14242432,Vauxhall,SE11,£671pcm,£155pw,flat,,5,,new,House of all girls looking for a new addition,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,13,,5087281,Elephant and Castle,SE17,£680pcm,£157pw,flat,,2,,,Big Double Room In Elephant And Castle,offered,False,2020-01-27 02:47:34.811272
agent, 3 Mar,bold,13,,9176047,Paddington,W2,£690pcm,£160pw,flat,,5,,,Great Single Room Next to Little Venice,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,13,,10221025,Bermondsey,SE1,£675pcm,£156pw,house,,3,,,Wow! Amazing double bedroom in great location,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,17,,14402329,Old Street,EC1,£685pcm,£158pw,flat,,3,,,Sought after single room in Barbican - £158pw*,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,19,,14411983,Farringdon,EC1,£685pcm,£158pw,flat,,3,,,Single Box Room in the City for £158pw*,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,23,,14053792,St Pancras,NW1,£672pcm,£155pw,flat,,5,,,Hot location! Single room in St. Pancras £155pw* ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Mar,free,0,Early Bird,8489524,Elephant and Castle,SE17,£690pcm,£160pw,flat,,3,,new,Large room £690pcm.incl bills - Elephant,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,23,,13932706,Clerkenwell,EC1,£681pcm,£157pw,flat,,3,,,Single room /Barbican + Farringdon / £157pw,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,1,Early Bird,5085352,Vauxhall,SW8,£670pcm,£155pw,flat,,3,,new,Double Room in Vauxhall,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,23,,13786045,Old Street,EC1,£685pcm,£158pw,flat,,3,,,Single room in Barbican/Old St £158pw*,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,3,Early Bird,3885338,Marylebone,W1,£640- £740pcm,£148- £171pw,house,,4,,new,Quiet Marylebone house-share,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,23,,13344055,Angel,EC1,£672pcm,£155pw,flat,,4,,,Single room in Angel & Barbican £155pw,offered,False,2020-01-27 02:47:34.811272
current flatmate, 9 Feb,free,3,Early Bird,14523940,Elephant and Castle,SE1,£675pcm,£156pw,flat,,4,,new,Spacious Double Bedroom in Elephant & Castle,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,23,,13778083,Angel,EC1,£685pcm,£158pw,flat,,3,,,Cosy single in Angel & Barbican - £158pw*,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Mar,free,4,Early Bird,11868121,Wapping,E1,£670pcm,£155pw,flat,,3,,new,Medium double sized room,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Feb,free,4,Early Bird,14419627,Shoreditch,N1,£680pcm,£157pw,flat,,3,,new,Cosy room located next to Shoreditch!,offered,False,2020-01-27 02:47:34.811272
current flatmate,20 Feb,free,5,Early Bird,14509339,Vauxhall,SW8,£640- £730pcm,£148- £169pw,flat,,3,,new,2 rooms available in Vauxhall - 3min from Vic line,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,5,Early Bird,11984143,Hoxton,N1,£666pcm,£154pw,flat,,3,,new,"Large room in Hoxton, Old Street, Haggerston.",offered,False,2020-01-27 02:47:34.811272
former flatmate,15 Feb,free,6,Early Bird,14504314,Vauxhall,SE11,£690pcm,£160pw,flat,,3,,new,Cheap double room in ZONE 1,offered,False,2020-01-27 02:47:34.811272
former flatmate,26 Feb,free,6,Early Bird,14466940,Elephant and Castle,SE17,£668pcm,£155pw,flat,,3,,new,Cozy room in Elephant&Castle (Zone 1),offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,6,Early Bird,14344480,Shoreditch,N1,£670pcm,£155pw,flat,,3,,new,Double room in modern flat 5m walk from Old Street,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,7,,4225622,London Bridge,SE1,£675pcm,£156pw,flat,,4,,,Lovely London Bridge Double Room,offered,False,2020-01-27 02:47:34.811272
live in landlord, 6 Jan,free,7,,3326882,Paddington,W2,£675pcm,£156pw,flat,,2,,,"Quiet Flat in Paddington/Little Venice, Mon-Fri",offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,11,,4156713,Notting Hill,W11,£675pcm,£156pw,house,,4,,,Rooms to Rent in Notting Hill ,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,17,,12828772,Vauxhall,SW8,£542- £780pcm,£125- £180pw,flat,,3,,,Bright Double Room 5 min walk from Vauxhall ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,20,,13471348,Elephant and Castle,SE17,£650- £750pcm,£150- £174pw,flat,,5,,,3 Double Rooms Available in Flatshare - Elephant,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,21,,14399128,Fitzrovia,W1,£664pcm,£154pw,flat,,4,,,Perfectly located single room nr Tottenham Ct Road,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Feb,free,22,,11172352,Borough,SE1,£671pcm,£155pw,flat,,4,,,Lovely shared flat right in the centre of London,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,24,,9499489,Marylebone,NW8,£680pcm,£157pw,flat,,4,,, Double room near Marylebone NW8,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,24,,14345530,Aldgate,E1,£690pcm,£160pw,flat,,4,,,Double room in friendly houshare,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,26,,14327497,Aldgate East,E1,£690pcm,£160pw,flat,,4,,,DOUBLE/ All bills included,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,27,,14287579,Waterloo,SE1,£680pcm,£157pw,flat,,3,,,Room in flatshare near Waterloo - great location!,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,3,,14376016,Elephant and Castle,SE1,£700- £750pcm,£162- £174pw,flat,,3,,new,New Flat! - Old Kent Road!! (53Maw),offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14443531,Elephant and Castle,SE1,£715pcm,£165pw,flat,,5,,boosted,Nice room / Elephant & Castle station 5 min,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14539597,Aldgate,E1,"£700- £1,000pcm",£162- £231pw,flat,,4,,new today,°° TOP ROOMS °° ,offered,False,2020-01-27 02:47:34.811272
agent,16 Feb,bold,0,,14532205,Aldgate East,E1,£715pcm,£165pw,flat,,4,,new today,Cosy Double Room in Bricklane|Aldgate East,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,0,Early Bird,14541499,Fitzrovia,W1,£720pcm,£167pw,flat,,2,,new today,Spacious and bright two double bedroom apartment.,offered,False,2020-01-27 02:47:34.811272
current tenants, 1 Mar,free,0,Early Bird,14539039,London WC1H,WC1,"£1,500 pcm",£1pw,flat,,2,Y,new today,2 bed room flat avilable in kingscross zone 1,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Mar,free,0,Early Bird,14537149,Lambeth,SE1,£720pcm,£167pw,flat,,4,,new today,A big double bedroom in Waterloo,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,free,0,Early Bird,14536324,Aldgate East,E1,£700pcm,£162pw,flat,,4,,new today,Bright Room in Aldgate,offered,False,2020-01-27 02:47:34.811272
current flatmate, 3 Feb,free,1,Early Bird,14533792,Waterloo,SE1,£700pcm,£162pw,flat,,3,,new today,Double bedroom in a clean flat,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9805339,Waterloo,SE1,£694pcm,£160pw,flat,,4,,new,!!! Amazing Double Waterloo £160 Move in Asap !!!,offered,False,2020-01-27 02:47:34.811272
agent,27 Jan,bold,0,,14521603,Aldgate East,E1,£694pcm,£160pw,flat,,4,,new,2 Dbl Rooms in the Same Apartment in Aldgate East ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14505691,Aldgate East,E1,£715- £802pcm,£165- £185pw,flat,,4,,new,Three Lovely Double Rooms Available Near Aldgate,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14534365,Liverpool Street,E1,£715- £755pcm,£165- £175pw,flat,,4,,new, Zone 1 Aldgate/Liverpool ST🌿Large 2 DBL Room,offered,False,2020-01-27 02:47:34.811272
agent,15 Feb,bold,0,,14476471,Aldgate,E1,£694pcm,£160pw,flat,,4,,new,Cheap bedroom in Aldgate | bricklane,offered,False,2020-01-27 02:47:34.811272
agent, 8 Feb,bold,0,,3777147,Bayswater,W2,£715pcm,£165pw,flat,,3,,new,New Single Bedroom Available in W2!!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9488563,Liverpool Street,E1,£715pcm,£165pw,flat,,4,,new,Zone 1 discounted price,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,10908628,Elephant and Castle,SE17,£700pcm,£162pw,flat,,2,,new,Spacious big Room in Central London with balcony,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9585226,Brick Lane,E1,£694pcm,£160pw,flat,,4,,new,Zone 1 offer ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,4213791,Wapping,E1,£600- £800pcm,£139- £185pw,house,,3,,new,Jan to March - short let -great location  2 rooms,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10012180,Shoreditch,N1,£694pcm,£160pw,flat,,4,,new,Modern Double in Shoreditch ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9071044,Marble Arch,W1,£715pcm,£165pw,flat,,2,,new,Marble Arch /room share/ £165 pwk each/2 sharers,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9552643,Liverpool Street,E1,£694pcm,£160pw,flat,,4,,new,"Below market price, share with young professionals",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,12983035,Vauxhall,SW8,£694pcm,£160pw,flat,,3,,new,Double room near Vauxhall! NO FEES,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9973573,Liverpool Street,E1,£694pcm,£160pw,flat,,4,,new,Great Double Zone 1 Move Asap ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,bold,0,,11453320,Elephant and Castle,SE17,£720pcm,£167pw,flat,,3,,new,Spacious and bright Double bedroom all inclusive,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10179286,Old Street,N1,£694pcm,£160pw,flat,,4,,new,King's Cross 1 stop ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,12658012,Liverpool Street,EC2,£550- £875pcm,£127- £202pw,flat,,9,,new,Twin/double/Single rooms in Liverpool Street! ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14508466,Aldgate East,E1,£715- £802pcm,£165- £185pw,flat,,4,,new,3 Double room near Aldgate East,offered,False,2020-01-27 02:47:34.811272
agent, 2 Mar,bold,1,,14293360,Tower Bridge,SE1,£650- £741pcm,£150- £171pw,flat,,3,,new,Zone 1!! Tower Bridge 2 Double Rooms,offered,False,2020-01-27 02:47:34.811272
former flatmate,28 Feb,bold,1,,13800382,Bayswater,W2,£600- £860pcm,£139- £199pw,flat,,3,,new,Very large  and small double room,offered,False,2020-01-27 02:47:34.811272
agent,24 Feb,bold,1,,14529778,Aldgate East,E1,£694pcm,£160pw,flat,,4,,new,Double Room near Aldgate East/Whitechapel ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,8958739,Liverpool Street,E1,£715- £733pcm,£165- £169pw,flat,,5,,new,2 Double rooms available in Zone 1 £165pw,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14529679,Whitechapel,E1,£715- £867pcm,£165- £200pw,flat,,4,,new,New Property- Available - Whitechapel asap,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Feb,bold,2,,14412994,Borough,SE1,£715pcm,£165pw,flat,,2,,new,Bermondsey Square,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14529619,Aldgate,E1,£694- £824pcm,£160- £190pw,flat,,4,,new,New Property- Available - Whitechapel Area,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14521606,Aldgate East,E1,"£715- £1,032pcm",£165- £238pw,flat,,4,,new,👌Shoredich*Liverpool Street Single*Double👌,offered,False,2020-01-27 02:47:34.811272
agent,28 Feb,bold,2,,14528758,Old Street,N1,£694pcm,£160pw,flat,,3,,new,Double Room in Old Street/Hoxton/Shoreditch ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10375075,Vauxhall,SE11,£694pcm,£160pw,flat,,4,,new,Double Room 5 Minute to Vauxhall Tube,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14285773,London SE11,SE11,£715pcm,£165pw,flat,,2,,new,Double Room in Elephant and Castle,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10743445,Hoxton,E2,£694pcm,£160pw,flat,,2,,new,Huge Modern Double Available in Shoreditch!! Bills,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14515870,Aldgate East,E1,"£715- £1,084pcm",£165- £250pw,flat,,4,,new,Lovely doubles near the City!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10428409,London E1,E1,£694pcm,£160pw,house,,7,,new,Double Room in a highly demanded Trendy Area! ,offered,False,2020-01-27 02:47:34.811272
agent,19 Feb,bold,3,,14205229,Angel,EC1,£715pcm,£165pw,flat,,5,,new, 2 Affordable Single Rooms in Angel - £165pw* ,offered,False,2020-01-27 02:47:34.811272
agent, 2 Feb,bold,3,,14522335,Earl's Court,SW5,"£3,000 pcm",£1pw,flat,,4,Y,new,Spacious 4 Bedroom Flat in Chelsea,offered,False,2020-01-27 02:47:34.811272
agent,23 Feb,bold,3,,14522101,Farringdon,EC1,£711pcm,£164pw,flat,,3,,new,Single 2 min from Barbican Station for £164pw*,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14521546,Liverpool Street,E1,£715- £802pcm,£165- £185pw,flat,,4,,new,3 Amzng Double-Bed Avl Near Liv. St/ Call 4 Cpls ,offered,False,2020-01-27 02:47:34.811272
agent,23 Feb,bold,3,,14522038,Farringdon,EC1,£711pcm,£164pw,flat,,3,,new,HOT location/ 2min from Barbican station £164pw,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14377264,Marylebone,NW1,£697pcm,£161pw,flat,,5,,new,Center of London Flat-Value for the Money,offered,False,2020-01-27 02:47:34.811272
agent,17 Feb,bold,3,,14521996,St Pancras,NW1,£711- £897pcm,£164- £207pw,flat,,5,,new,Hot location! 2 rooms in St. Pancras from £164pw*,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14519368,Aldgate East,E1,£694- £759pcm,£160- £175pw,flat,,4,,new,Big 3 Double Rooms in Aldgate/Monument*No Fees***,offered,False,2020-01-27 02:47:34.811272
agent, 2 Mar,bold,3,,14263780,Haggerston,E2,£699pcm,£162pw,flat,,3,,new,Luxury En Suite,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,13354000,Marylebone,NW8,£700pcm,£162pw,flat,,3,,new,Single Room in Marylebone from 1St Feb 2020,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,3,,14376016,Elephant and Castle,SE1,£700- £750pcm,£162- £174pw,flat,,3,,new,New Flat! - Old Kent Road!! (53Maw),offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,4,,14500777,Aldgate East,E1,£715- £824pcm,£165- £190pw,flat,,4,,new,Nice 3 Rooms in Aldgate East/Monument**Zone 1**,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,3,,8709535,Vauxhall,SE11,£700pcm,£162pw,flat,,5,,new,Amazing Room!! Next to Vauxhall! (55 MALM),offered,False,2020-01-27 02:47:34.811272
agent,19 Feb,bold,4,,13053823,King's Cross,WC1,£711pcm,£164pw,flat,,5,,new,Available Feb! Single room in Kings Cross £164pw,offered,False,2020-01-27 02:47:34.811272
live out landlord,13 Feb,bold,5,,12445819,London Bridge,SE1,£715pcm,£165pw,flat,,2,,new,A double room avail This is a flatshare with 2mail,offered,False,2020-01-27 02:47:34.811272
agent,19 Feb,bold,5,,14424607,King's Cross,WC1,£711pcm,£164pw,flat,,5,,new,Sought after single room in Kings Cross - £164pw*,offered,False,2020-01-27 02:47:34.811272
agent, 1 Jun,bold,5,,12234769,Chelsea,SW10,"£4,000 pcm",£1pw,flat,,4,Y,new,Amazing Flat in SW10 for a group of 6 people max,offered,False,2020-01-27 02:47:34.811272
